,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
118,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",StandardScaler,Variance threshold,26,163819.815,0.876,0.825
119,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,UFS (f-regression),15,163995.314,0.896,0.825
120,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,UFS (f-regression),15,163995.314,0.896,0.825
121,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,UFS (f-regression),15,163995.314,0.896,0.825
122,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",StandardScaler,Variance threshold,18,164837.853,0.938,0.823
123,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,Variance threshold,18,164837.853,0.938,0.823
124,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,Variance threshold,18,164837.853,0.938,0.823
125,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",MinMaxScaler,Variance threshold,24,164991.389,0.93,0.823
126,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",StandardScaler,Variance threshold,24,164991.389,0.93,0.823
127,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",RobustScaler,Variance threshold,24,164991.389,0.93,0.823
128,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",RobustScaler,UFS (f-regression),30,165158.429,0.865,0.822
129,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",StandardScaler,UFS (f-regression),30,165158.429,0.865,0.822
130,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",MinMaxScaler,UFS (f-regression),30,165158.429,0.865,0.822
131,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",StandardScaler,Variance threshold,26,165374.218,0.942,0.822
132,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",RobustScaler,Variance threshold,26,165374.218,0.942,0.822
133,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",MinMaxScaler,Variance threshold,26,165374.218,0.942,0.822
134,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",RobustScaler,Variance threshold,30,165374.218,0.942,0.822
135,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",StandardScaler,Variance threshold,30,165374.218,0.942,0.822
136,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",MinMaxScaler,Variance threshold,30,165374.218,0.942,0.822
137,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,Variance threshold,19,165512.818,0.933,0.822
138,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,Variance threshold,19,165512.818,0.933,0.822
139,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,Variance threshold,19,165512.818,0.933,0.822
140,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",MinMaxScaler,Variance threshold,19,165808.808,0.951,0.821
141,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",RobustScaler,Variance threshold,19,165808.808,0.951,0.821
142,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",StandardScaler,Variance threshold,19,165808.808,0.951,0.821
143,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",StandardScaler,UFS (f-regression),15,166898.49,0.889,0.819
144,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,UFS (f-regression),15,166898.49,0.889,0.819
145,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,UFS (f-regression),15,166898.49,0.889,0.819
146,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,Variance threshold,16,168351.236,0.914,0.816
147,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,Variance threshold,16,168351.236,0.914,0.816
148,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,Variance threshold,16,168351.236,0.914,0.816
149,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",RobustScaler,UFS (f-regression),15,169489.34,0.887,0.813
150,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",StandardScaler,UFS (f-regression),15,169489.34,0.887,0.813
151,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",MinMaxScaler,UFS (f-regression),15,169489.34,0.887,0.813
152,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",MinMaxScaler,UFS (f-regression),25,169854.482,0.865,0.812
153,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",StandardScaler,UFS (f-regression),25,169854.482,0.865,0.812
154,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",RobustScaler,UFS (f-regression),25,169854.482,0.865,0.812
155,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",RobustScaler,Variance threshold,18,170239.139,0.942,0.811
156,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",StandardScaler,Variance threshold,18,170239.139,0.942,0.811
157,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",MinMaxScaler,Variance threshold,18,170239.139,0.942,0.811
158,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",StandardScaler,UFS (f-regression),10,174762.518,0.863,0.801
159,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,UFS (f-regression),10,174762.518,0.863,0.801
160,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,UFS (f-regression),10,174762.518,0.863,0.801
161,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",StandardScaler,UFS (f-regression),20,174767.514,0.85,0.801
162,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",RobustScaler,UFS (f-regression),20,174767.514,0.85,0.801
163,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",MinMaxScaler,UFS (f-regression),20,174767.514,0.85,0.801
164,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",StandardScaler,UFS (f-regression),10,175191.352,0.844,0.8
165,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",RobustScaler,UFS (f-regression),10,175191.352,0.844,0.8
166,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",MinMaxScaler,UFS (f-regression),10,175191.352,0.844,0.8
167,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,UFS (f-regression),10,175602.924,0.883,0.799
