,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
14,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,Variance threshold,19,203803.203,0.798,0.73
22,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,Variance threshold,16,204248.148,0.787,0.728
6,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,Variance threshold,30,204399.669,0.798,0.728
21,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,Variance threshold,16,204470.275,0.788,0.728
11,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,Variance threshold,24,204478.671,0.798,0.728
8,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,Variance threshold,26,204913.346,0.797,0.727
20,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,Variance threshold,16,204989.717,0.787,0.727
13,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,Variance threshold,24,205127.104,0.798,0.726
7,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,Variance threshold,30,205135.077,0.797,0.726
9,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,Variance threshold,26,205136.874,0.798,0.726
15,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,Variance threshold,19,205376.627,0.798,0.725
17,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,Variance threshold,18,205522.988,0.796,0.725
10,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,Variance threshold,26,205536.653,0.797,0.725
19,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,Variance threshold,18,205604.893,0.797,0.725
5,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,Variance threshold,30,205683.321,0.796,0.725
12,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,Variance threshold,24,205766.554,0.798,0.724
16,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,Variance threshold,19,205913.832,0.798,0.724
18,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,Variance threshold,18,206369.497,0.797,0.723
